import time: self [us] | cumulative | imported package
import time:        48 |         48 |                           brotli
import time:        41 |         41 |                           backports
import time:       274 |        503 |                         urllib3.util.request
import time:        92 |         92 |                         urllib3.util.response
import time:       272 |        272 |                         urllib3.util.retry
import time:      3129 |       3129 |                           urllib3.util.url
import time:       171 |        171 |                           urllib3.util.ssltransport
import time:       172 |       3470 |                         urllib3.util.ssl_
import time:        91 |         91 |                         urllib3.util.wait
import time:       121 |       4917 |                       urllib3.util
import time:        14 |       4931 |                     urllib3.util.connection
import time:       396 |       5326 |                   urllib3._base_connection
import time:       350 |        350 |                   urllib3._collections
import time:        84 |         84 |                   urllib3._version
import time:        32 |         32 |                       _queue
import time:       194 |        225 |                     queue
import time:        49 |         49 |                             _winapi
import time:        39 |         39 |                             winreg
import time:       189 |        276 |                           mimetypes
import time:       124 |        399 |                         urllib3.fields
import time:       114 |        512 |                       urllib3.filepost
import time:        58 |         58 |                         brotlicffi
import time:        39 |         39 |                         brotli
import time:        88 |         88 |                           urllib3.http2
import time:       145 |        145 |                           urllib3.http2.probe
import time:        98 |         98 |                           urllib3.util.ssl_match_hostname
import time:       394 |        723 |                         urllib3.connection
import time:        58 |         58 |                         backports
import time:       338 |       1214 |                       urllib3.response
import time:       137 |       1863 |                     urllib3._request_methods
import time:        72 |         72 |                     urllib3.util.proxy
import time:       421 |       2579 |                   urllib3.connectionpool
import time:       491 |        491 |                   urllib3.poolmanager
import time:       213 |      12566 |                 urllib3
import time:       509 |        509 |                         81d243bd2c585b0f4821__mypyc
import time:       691 |        691 |                         charset_normalizer.constant
import time:        32 |         32 |                           unicodedata
import time:        22 |         22 |                           _multibytecodec
import time:       220 |        273 |                         charset_normalizer.utils
import time:       220 |        220 |                         charset_normalizer.models
import time:       470 |       2161 |                       charset_normalizer.cd
import time:        23 |         23 |                       _codecs_tw
import time:        14 |         14 |                       _codecs_hk
import time:        18 |         18 |                       _codecs_jp
import time:        13 |         13 |                       _codecs_kr
import time:        99 |         99 |                       _codecs_cn
import time:        12 |         12 |                       _codecs_iso2022
import time:      8719 |      11055 |                     charset_normalizer.api
import time:        85 |         85 |                     charset_normalizer.legacy
import time:        64 |         64 |                     charset_normalizer.version
import time:        55 |         55 |                     simplejson
import time:       126 |        126 |                           urllib.response
import time:       153 |        278 |                         urllib.error
import time:        22 |         22 |                         _scproxy
import time:       911 |       1211 |                       urllib.request
import time:       515 |        515 |                       calendar
import time:      3424 |       5149 |                     http.cookiejar
import time:       758 |        758 |                     http.cookies
import time:       314 |      17478 |                   requests.compat
import time:       345 |      17822 |                 requests.exceptions
import time:        73 |         73 |                 chardet
import time:       111 |        111 |                       idna.idnadata
import time:        76 |         76 |                       idna.intranges
import time:       440 |        626 |                     idna.core
import time:        69 |         69 |                     idna.package_data
import time:       127 |        821 |                   idna
import time:       222 |       1043 |                 requests.packages
import time:       136 |        136 |                       certifi.core
import time:       131 |        267 |                     certifi
import time:        87 |        354 |                   requests.certs
import time:        73 |         73 |                   requests.__version__
import time:       189 |        189 |                   requests._internal_utils
import time:       198 |        198 |                   requests._types
import time:       227 |        227 |                   requests.cookies
import time:       154 |        154 |                   requests.structures
import time:       174 |        174 |                   importlib.resources._adapters
import time:        63 |         63 |                       importlib.resources._itertools
import time:       162 |        224 |                     importlib.resources.readers
import time:        76 |        300 |                   importlib.readers
import time:       494 |       2158 |                 requests.utils
import time:       167 |        167 |                       requests.auth
import time:       198 |        198 |                           stringprep
import time:       341 |        539 |                         encodings.idna
import time:        79 |         79 |                         requests.hooks
import time:       224 |        224 |                         requests.status_codes
import time:       277 |       1117 |                       requests.models
import time:        79 |         79 |                         urllib3.contrib
import time:        51 |         51 |                         socks
import time:       171 |        300 |                       urllib3.contrib.socks
import time:       190 |       1772 |                     requests.adapters
import time:       189 |       1961 |                   requests.sessions
import time:       102 |       2063 |                 requests.api
import time:       250 |      35971 |               requests
import time:       213 |        213 |                 pydantic._internal._decorators_v1
import time:       299 |        299 |                         pydantic.v1.typing
import time:       734 |       1033 |                       pydantic.v1.errors
import time:        49 |         49 |                           cython
import time:        84 |        132 |                         pydantic.v1.version
import time:       630 |        761 |                       pydantic.v1.utils
import time:       255 |       2048 |                     pydantic.v1.class_validators
import time:       405 |        405 |                     pydantic.v1.config
import time:       116 |        116 |                           colorsys
import time:       289 |        404 |                         pydantic.v1.color
import time:       663 |        663 |                             pydantic.v1.datetime_parse
import time:       288 |        951 |                           pydantic.v1.validators
import time:       535 |       1486 |                         pydantic.v1.networks
import time:      1083 |       1083 |                         pydantic.v1.types
import time:       149 |       3121 |                       pydantic.v1.json
