import time: self [us] | cumulative | imported package
import time:       125 |        125 |                               openai.types.moderation_text_input_param
import time:       134 |        134 |                               openai.types.moderation_image_url_input_param
import time:       116 |        374 |                             openai.types.moderation_multi_modal_input_param
import time:       149 |        523 |                           openai.types.moderation_create_params
import time:       140 |        140 |                           openai.types.vector_store_list_params
import time:       485 |        485 |                           openai.types.container_create_response
import time:       337 |        337 |                           openai.types.create_embedding_response
import time:       202 |        202 |                           openai.types.moderation_create_response
import time:       123 |        123 |                               openai.types.auto_file_chunking_strategy_param
import time:       124 |        124 |                                 openai.types.static_file_chunking_strategy_param
import time:       129 |        253 |                               openai.types.static_file_chunking_strategy_object_param
import time:       119 |        493 |                             openai.types.file_chunking_strategy_param
import time:       187 |        679 |                           openai.types.vector_store_create_params
import time:       190 |        190 |                           openai.types.vector_store_search_params
import time:       156 |        156 |                           openai.types.vector_store_update_params
import time:       436 |        436 |                           openai.types.container_retrieve_response
import time:       358 |        358 |                           openai.types.vector_store_search_response
import time:       189 |        189 |                           openai.types.video_get_character_response
import time:       169 |        169 |                           openai.types.websocket_connection_options
import time:       160 |        160 |                           openai.types.image_create_variation_params
import time:       117 |        117 |                           openai.types.video_create_character_params
import time:       106 |        106 |                           openai.types.video_download_content_params
import time:       182 |        182 |                           openai.types.video_create_character_response
import time:       928 |     127822 |                         openai.types
import time:       392 |        392 |                           openai._exceptions
import time:       198 |        198 |                           openai._qs
import time:       411 |        411 |                             openai.auth._workload
import time:       121 |        531 |                           openai.auth
import time:        97 |         97 |                           openai._version
import time:       427 |        427 |                           openai._streaming
import time:       746 |        746 |                                 argparse
import time:       256 |        256 |                                 shlex
import time:       832 |       1834 |                               distro.distro
import time:       171 |       2004 |                             distro
import time:       485 |        485 |                             openai._response
import time:       210 |        210 |                             openai._utils._json
import time:       460 |        460 |                             openai._legacy_response
import time:        81 |         81 |                             httpx_aiohttp
import time:      1532 |       4769 |                           openai._base_client
import time:       854 |       7265 |                         openai._client
import time:       187 |        187 |                         openai._utils._resources_proxy
import time:       272 |        272 |                             openai.lib._pydantic
import time:       234 |        506 |                           openai.lib._tools
import time:       324 |        324 |                             openai.lib._parsing._completions
import time:       135 |        459 |                           openai.lib._parsing
import time:       130 |       1093 |                         openai.lib
import time:       354 |        354 |                         openai.lib.azure
import time:       218 |        218 |                         openai.lib.bedrock
import time:       103 |        103 |                         openai.version
import time:       162 |        162 |                         openai.lib._old_api
import time:       669 |        669 |                               openai.types.beta.thread
import time:       219 |        219 |                                   openai.types.beta.function_tool
import time:       420 |        420 |                                   openai.types.beta.file_search_tool
import time:       202 |        202 |                                   openai.types.beta.code_interpreter_tool
import time:       154 |        994 |                                 openai.types.beta.assistant_tool
import time:       130 |        130 |                                 openai.types.beta.assistant_response_format_option
import time:       589 |       1712 |                               openai.types.beta.assistant
import time:       235 |        235 |                               openai.types.beta.thread_deleted
import time:       298 |        298 |                               openai.types.beta.chatkit_workflow
import time:       210 |        210 |                               openai.types.beta.assistant_deleted
import time:       159 |        159 |                               openai.types.beta.function_tool_param
import time:       199 |        199 |                                 openai.types.beta.file_search_tool_param
import time:       115 |        115 |                                 openai.types.beta.code_interpreter_tool_param
import time:       120 |        433 |                               openai.types.beta.assistant_tool_param
import time:       134 |        134 |                                       openai.types.beta.threads.run_status
import time:       192 |        192 |                                           openai.types.beta.assistant_tool_choice_function
import time:       211 |        403 |                                         openai.types.beta.assistant_tool_choice
import time:       125 |        528 |                                       openai.types.beta.assistant_tool_choice_option
import time:       285 |        285 |                                       openai.types.beta.threads.required_action_function_tool_call
import time:      3457 |       4403 |                                     openai.types.beta.threads.run
import time:       303 |        303 |                                         openai.types.beta.threads.file_path_annotation
import time:       327 |        327 |                                         openai.types.beta.threads.file_citation_annotation
import time:       147 |        776 |                                       openai.types.beta.threads.annotation
import time:       238 |       1014 |                                     openai.types.beta.threads.text
import time:       188 |        188 |                                         openai.types.beta.threads.text_content_block
import time:       191 |        191 |                                         openai.types.beta.threads.refusal_content_block
import time:       206 |        206 |                                           openai.types.beta.threads.image_url
import time:       180 |        385 |                                         openai.types.beta.threads.image_url_content_block
import time:       178 |        178 |                                           openai.types.beta.threads.image_file
import time:       181 |        358 |                                         openai.types.beta.threads.image_file_content_block
import time:       162 |       1283 |                                       openai.types.beta.threads.message_content
import time:       600 |       1882 |                                     openai.types.beta.threads.message
import time:       315 |        315 |                                         openai.types.beta.threads.file_path_delta_annotation
import time:       323 |        323 |                                         openai.types.beta.threads.file_citation_delta_annotation
import time:       144 |        782 |                                       openai.types.beta.threads.annotation_delta
import time:       220 |       1002 |                                     openai.types.beta.threads.text_delta
import time:       208 |        208 |                                         openai.types.beta.threads.text_delta_block
import time:       200 |        200 |                                         openai.types.beta.threads.refusal_delta_block
import time:       245 |        245 |                                           openai.types.beta.threads.image_url_delta
import time:       232 |        476 |                                         openai.types.beta.threads.image_url_delta_block
import time:       182 |        182 |                                           openai.types.beta.threads.image_file_delta
import time:       228 |        410 |                                         openai.types.beta.threads.image_file_delta_block
import time:       155 |       1447 |                                       openai.types.beta.threads.message_content_delta
import time:       227 |       1674 |                                     openai.types.beta.threads.message_delta
import time:       161 |        161 |                                     openai.types.beta.threads.image_url_param
import time:       209 |        209 |                                     openai.types.beta.threads.message_deleted
import time:       153 |        153 |                                     openai.types.beta.threads.run_list_params
import time:       147 |        147 |                                     openai.types.beta.threads.image_file_param
import time:       413 |        413 |                                                 openai.types.beta.threads.runs.function_tool_call
import time:       607 |        607 |                                                 openai.types.beta.threads.runs.file_search_tool_call
import time:       557 |        557 |                                                 openai.types.beta.threads.runs.code_interpreter_tool_call
import time:       132 |       1708 |                                               openai.types.beta.threads.runs.tool_call
import time:       196 |       1903 |                                             openai.types.beta.threads.runs.tool_calls_step_details
import time:       265 |        265 |                                             openai.types.beta.threads.runs.message_creation_step_details
import time:       594 |       2761 |                                           openai.types.beta.threads.runs.run_step
import time:       293 |        293 |                                                 openai.types.beta.threads.runs.function_tool_call_delta
import time:       199 |        199 |                                                 openai.types.beta.threads.runs.file_search_tool_call_delta
import time:       187 |        187 |                                                   openai.types.beta.threads.runs.code_interpreter_logs
import time:       272 |        272 |                                                   openai.types.beta.threads.runs.code_interpreter_output_image
import time:       389 |        847 |                                                 openai.types.beta.threads.runs.code_interpreter_tool_call_delta
import time:       144 |       1482 |                                               openai.types.beta.threads.runs.tool_call_delta
import time:       207 |       1688 |                                             openai.types.beta.threads.runs.tool_call_delta_object
import time:       256 |        256 |                                             openai.types.beta.threads.runs.run_step_delta_message_delta
import time:       290 |       2233 |                                           openai.types.beta.threads.runs.run_step_delta
import time:       138 |        138 |                                           openai.types.beta.threads.runs.run_step_include
import time:       179 |        179 |                                           openai.types.beta.threads.runs.step_list_params
import time:       188 |        188 |                                           openai.types.beta.threads.runs.run_step_delta_event
import time:       153 |        153 |                                           openai.types.beta.threads.runs.step_retrieve_params
import time:       176 |       5826 |                                         openai.types.beta.threads.runs
import time:        17 |       5842 |                                       openai.types.beta.threads.runs.run_step_include
import time:       144 |        144 |                                         openai.types.beta.threads.text_content_block_param
import time:       127 |        127 |                                         openai.types.beta.threads.image_url_content_block_param
import time:       139 |        139 |                                         openai.types.beta.threads.image_file_content_block_param
import time:       131 |        539 |                                       openai.types.beta.threads.message_content_part_param
import time:       108 |        108 |                                           openai.types.beta.assistant_tool_choice_function_param
import time:       130 |        237 |                                         openai.types.beta.assistant_tool_choice_param
import time:       120 |        357 |                                       openai.types.beta.assistant_tool_choice_option_param
import time:       116 |        116 |                                       openai.types.beta.assistant_response_format_option_param
import time:       577 |       7430 |                                     openai.types.beta.threads.run_create_params
import time:       128 |        128 |                                     openai.types.beta.threads.run_update_params
import time:       225 |        225 |                                     openai.types.beta.threads.message_delta_event
import time:       141 |        141 |                                     openai.types.beta.threads.message_list_params
import time:       205 |        205 |                                     openai.types.beta.threads.message_create_params
import time:       127 |        127 |                                     openai.types.beta.threads.message_update_params
import time:       192 |        192 |                                     openai.types.beta.threads.run_submit_tool_outputs_params
import time:       231 |      19314 |                                   openai.types.beta.threads
import time:        14 |      19327 |                                 openai.types.beta.threads.message_content_part_param
import time:       417 |      19744 |                               openai.types.beta.thread_create_params
import time:       193 |        193 |                               openai.types.beta.thread_update_params
import time:       128 |        128 |                               openai.types.beta.assistant_list_params
import time:      2913 |       2913 |                               openai.types.beta.assistant_stream_event
import time:       868 |        868 |                               openai.types.beta.assistant_create_params
import time:       588 |        588 |                               openai.types.beta.assistant_update_params
import time:       804 |        804 |                               openai.types.beta.thread_create_and_run_params
import time:       280 |      29227 |                             openai.types.beta
import time:       617 |      29843 |                           openai.lib.streaming._assistants
import time:       117 |      29960 |                         openai.lib.streaming
import time:       583 |        583 |                         openai._module_client
import time:       521 |     168263 |                       openai
import time:        12 |     168274 |                     openai._models
import time:       808 |     169130 |                   litellm.types.llms.base
import time:      1062 |     170284 |                 litellm.types.secret_managers.main
import time:       895 |        895 |                       tiktoken._tiktoken
import time:       296 |       1191 |                     tiktoken.core
import time:       257 |        257 |                         pkgutil
import time:        74 |         74 |                         tiktoken_ext
import time:       125 |        456 |                       tiktoken.registry
import time:       125 |        581 |                     tiktoken.model
import time:       319 |       2089 |                   tiktoken
import time:      1621 |       1621 |                     tokenizers.tokenizers
import time:       124 |        124 |                         tokenizers.decoders
import time:       147 |        147 |                         tokenizers.models
import time:       124 |        124 |                         tokenizers.normalizers
import time:       110 |        110 |                         tokenizers.pre_tokenizers
import time:       122 |        122 |                         tokenizers.processors
import time:       385 |       1010 |                       tokenizers.implementations.base_tokenizer
import time:       239 |        239 |                       tokenizers.implementations.bert_wordpiece
import time:       197 |        197 |                       tokenizers.implementations.byte_level_bpe
import time:       271 |        271 |                       tokenizers.implementations.char_level_bpe
import time:       223 |        223 |                       tokenizers.implementations.sentencepiece_bpe
import time:       183 |        183 |                       tokenizers.implementations.sentencepiece_unigram
import time:       449 |       2568 |                     tokenizers.implementations
import time:       425 |       4613 |                   tokenizers
import time:       235 |        235 |                   litellm.litellm_core_utils.json_validation_rule
import time:       103 |        103 |                   litellm._internal_context
import time:       518 |        518 |                     litellm._lazy_imports_registry
import time:       305 |        822 |                   litellm._lazy_imports
import time:       854 |        854 |                       fastuuid.fastuuid
import time:       148 |       1002 |                     fastuuid
import time:       116 |       1118 |                   litellm._uuid
import time:      2436 |       2436 |                     openai.pagination
import time:       355 |        355 |                           openai.types.fine_tuning.dpo_hyperparameters
import time:       502 |        857 |                         openai.types.fine_tuning.dpo_method
import time:       233 |        233 |                             openai.types.fine_tuning.supervised_hyperparameters
import time:       207 |        440 |                           openai.types.fine_tuning.supervised_method
import time:       320 |        320 |                             openai.types.fine_tuning.reinforcement_hyperparameters
import time:       256 |        575 |                           openai.types.fine_tuning.reinforcement_method
import time:       242 |        242 |                             openai.types.fine_tuning.fine_tuning_job_wandb_integration
import time:       211 |        453 |                           openai.types.fine_tuning.fine_tuning_job_wandb_integration_object
import time:       925 |       2391 |                         openai.types.fine_tuning.fine_tuning_job
import time:       182 |        182 |                         openai.types.fine_tuning.job_list_params
import time:       163 |        163 |                           openai.types.fine_tuning.dpo_hyperparameters_param
import time:       130 |        292 |                         openai.types.fine_tuning.dpo_method_param
import time:       172 |        172 |                             openai.types.fine_tuning.supervised_hyperparameters_param
import time:       145 |        317 |                           openai.types.fine_tuning.supervised_method_param
import time:       171 |        171 |                             openai.types.fine_tuning.reinforcement_hyperparameters_param
import time:       157 |        328 |                           openai.types.fine_tuning.reinforcement_method_param
import time:       322 |        966 |                         openai.types.fine_tuning.job_create_params
import time:       331 |        331 |                         openai.types.fine_tuning.fine_tuning_job_event
import time:       138 |        138 |                         openai.types.fine_tuning.job_list_events_params
import time:        92 |         92 |                         openai.types.fine_tuning.fine_tuning_job_integration
import time:       229 |       5473 |                       openai.types.fine_tuning
import time:        24 |       5497 |                     openai.types.fine_tuning.fine_tuning_job
import time:        54 |         54 |                       litellm.types.responses
import time:      2388 |       2441 |                     litellm.types.responses.main
import time:     38358 |      48731 |                   litellm.types.llms.openai
import time:       293 |        293 |                         openai.types.audio.translation
import time:       113 |        113 |                         openai.types.audio.speech_model
import time:       746 |        746 |                         openai.types.audio.transcription
import time:       225 |        225 |                         openai.types.audio.transcription_word
import time:       234 |        234 |                           openai.types.audio.transcription_segment
import time:       210 |        443 |                         openai.types.audio.translation_verbose
import time:       254 |        254 |                         openai.types.audio.speech_create_params
import time:       105 |        105 |                         openai.types.audio.transcription_include
import time:       320 |        320 |                         openai.types.audio.transcription_verbose
import time:       254 |        254 |                           openai.types.audio.transcription_diarized_segment
import time:       557 |        811 |                         openai.types.audio.transcription_diarized
import time:       213 |        213 |                         openai.types.audio.translation_create_params
import time:       591 |        591 |                           openai.types.audio.transcription_text_done_event
import time:       326 |        326 |                           openai.types.audio.transcription_text_delta_event
import time:       477 |        477 |                           openai.types.audio.transcription_text_segment_event
import time:       165 |       1557 |                         openai.types.audio.transcription_stream_event
import time:       347 |        347 |                         openai.types.audio.transcription_create_params
import time:       157 |        157 |                         openai.types.audio.translation_create_response
import time:       131 |        131 |                         openai.types.audio.transcription_create_response
import time:       243 |       5952 |                       openai.types.audio
import time:        15 |       5967 |                     openai.types.audio.transcription_create_params
import time:      2288 |       2288 |                     litellm.types.mcp
import time:       433 |        433 |                     litellm.litellm_core_utils.core_helpers
import time:      3318 |       3318 |                     litellm.types.agents
import time:        49 |         49 |                             litellm.types.proxy
import time:       145 |        194 |                           litellm.types.proxy.guardrails
import time:        93 |        286 |                         litellm.types.proxy.guardrails.guardrail_hooks
import time:       751 |        751 |                         litellm.types.proxy.guardrails.guardrail_hooks.base
import time:       898 |       1934 |                       litellm.types.proxy.guardrails.guardrail_hooks.akto
import time:       652 |        652 |                       litellm.types.proxy.guardrails.guardrail_hooks.block_code_execution
import time:      1263 |       1263 |                       litellm.types.proxy.guardrails.guardrail_hooks.enkryptai
import time:      1153 |       1153 |                       litellm.types.proxy.guardrails.guardrail_hooks.grayswan
import time:       547 |        547 |                         litellm.types.proxy.guardrails.guardrail_hooks.ibm.base
import time:      1288 |       1288 |                         litellm.types.proxy.guardrails.guardrail_hooks.ibm.ibm_detector
import time:       161 |       1995 |                       litellm.types.proxy.guardrails.guardrail_hooks.ibm
import time:      1634 |       1634 |                       litellm.types.proxy.guardrails.guardrail_hooks.litellm_content_filter
import time:       537 |        537 |                       litellm.types.proxy.guardrails.guardrail_hooks.promptguard
import time:       679 |        679 |                       litellm.types.proxy.guardrails.guardrail_hooks.xecguard
import time:       872 |        872 |                       litellm.types.proxy.guardrails.guardrail_hooks.qualifire
import time:      1546 |       1546 |                       litellm.types.proxy.guardrails.guardrail_hooks.tool_permission
import time:       652 |        652 |                       litellm.types.proxy.guardrails.guardrail_hooks.hiddenlayer
import time:       406 |        406 |                       litellm.types.proxy.guardrails.guardrail_hooks.qohash
import time:     17670 |      30989 |                     litellm.types.guardrails
import time:        75 |         75 |                       litellm.types.llms.anthropic_messages
import time:      3611 |       3611 |                       litellm.types.llms.anthropic
import time:       431 |       4116 |                     litellm.types.llms.anthropic_messages.anthropic_response
import time:      1519 |       1519 |                     litellm.types.rerank
import time:     16835 |      65460 |                   litellm.types.utils
import time:       320 |        320 |                       litellm.llms
import time:       112 |        112 |                         litellm.llms.base_llm.anthropic_messages
import time:      2861 |       2861 |                           litellm.types.completion
import time:       745 |        745 |                           litellm.types.embedding
import time:       269 |        269 |                           litellm.types.search
import time:     71068 |      74941 |                         litellm.types.router
import time:       319 |      75371 |                       litellm.llms.base_llm.anthropic_messages.transformation
import time:        69 |         69 |                         litellm.llms.base_llm.audio_transcription
import time:        50 |         50 |                           litellm.llms.base_llm.chat
import time:        52 |         52 |                             litellm.llms.custom_httpx
import time:       423 |        423 |                                   multidict._abc
import time:      1122 |       1122 |                                     multidict._multidict
import time:       138 |       1259 |                                   multidict._compat
import time:       197 |       1878 |                                 multidict
import time:       440 |       2317 |                               aiohttp.hdrs
import time:       129 |        129 |                                     attr._compat
import time:       112 |        112 |                                       attr._config
import time:       172 |        172 |                                         attr.exceptions
import time:       129 |        300 |                                       attr.setters
import time:      2159 |       2571 |                                     attr._make
import time:       192 |       2892 |                                   attr.converters
import time:       137 |        137 |                                   attr.filters
import time:      2253 |       2253 |                                   attr.validators
import time:       149 |        149 |                                   attr._cmp
import time:       300 |        300 |                                   attr._funcs
import time:       267 |        267 |                                   attr._next_gen
import time:       384 |        384 |                                   attr._version_info
import time:       299 |       6677 |                                 attr
import time:       775 |        775 |                                         yarl._quoting_c
import time:       119 |        894 |                                       yarl._quoting
import time:       141 |       1034 |                                     yarl._quoters
import time:       239 |       1273 |                                   yarl._query
import time:       301 |        301 |                                       propcache
import time:       648 |        648 |                                         propcache._helpers_c
import time:       168 |        816 |                                       propcache._helpers
import time:       280 |       1396 |                                     propcache.api
import time:       147 |        147 |                                     yarl._parse
import time:       173 |        173 |                                     yarl._path
import time:       897 |       2612 |                                   yarl._url
import time:       178 |       4062 |                                 yarl
import time:       348 |        348 |                                     aiohttp.typedefs
import time:       426 |        774 |                                   aiohttp.http_exceptions
import time:       574 |        574 |                                       aiohttp.client_exceptions
import time:       308 |        308 |                                         netrc
import time:      1350 |       1350 |                                             email._header_value_parser
import time:       615 |       1964 |                                           email.headerregistry
import time:       327 |        327 |                                           email.contentmanager
import time:       370 |       2660 |                                         email.policy
import time:       222 |        222 |                                         aiohttp.log
import time:      1871 |       5061 |                                       aiohttp.helpers
import time:       138 |        138 |                                       aiohttp.tcp_helpers
import time:       172 |       5943 |                                     aiohttp.base_protocol
import time:        79 |         79 |                                       brotlicffi
import time:        50 |         50 |                                       brotli
import time:        43 |         43 |                                         backports
import time:        10 |         52 |                                       backports.zstd
import time:       463 |        643 |                                     aiohttp.compression_utils
import time:       660 |        660 |                                         aiohttp._cookie_helpers
import time:       637 |       1297 |                                       aiohttp.abc
import time:       766 |        766 |                                       aiohttp._http_writer
import time:       474 |       2536 |                                     aiohttp.http_writer
import time:       491 |        491 |                                     aiohttp.streams
import time:       878 |        878 |                                     aiohttp._http_parser
import time:      1135 |      11622 |                                   aiohttp.http_parser
import time:       166 |        166 |                                       aiohttp._websocket
import time:       595 |        595 |                                       aiohttp._websocket.models
import time:       655 |        655 |                                       aiohttp._websocket.mask
import time:       598 |       2012 |                                     aiohttp._websocket.helpers
import time:       821 |        821 |                                       aiohttp._websocket.reader_c
import time:       141 |        961 |                                     aiohttp._websocket.reader
import time:       212 |        212 |                                     aiohttp._websocket.writer
import time:       299 |       3483 |                                   aiohttp.http_websocket
import time:       289 |      16167 |                                 aiohttp.http
import time:       944 |        944 |                                 aiohttp.payload
import time:       776 |        776 |                                     aiohttp.multipart
import time:       171 |        171 |                                     aiohttp.formdata
import time:      1403 |       2349 |                                   aiohttp.client_reqrep
import time:       159 |       2508 |                                 aiohttp.client_middlewares
import time:       698 |        698 |                                 aiohttp.client_ws
import time:       129 |        129 |                                       aiohappyeyeballs._staggered
import time:       105 |        105 |                                       aiohappyeyeballs.types
import time:       233 |        466 |                                     aiohappyeyeballs.impl
import time:       146 |        146 |                                     aiohappyeyeballs.utils
import time:       201 |        812 |                                   aiohappyeyeballs
import time:       255 |        255 |                                   aiohttp.client_proto
import time:        74 |         74 |                                     aiodns
import time:       257 |        331 |                                   aiohttp.resolver
import time:     13219 |      14616 |                                 aiohttp.connector
import time:       894 |        894 |                                 aiohttp.cookiejar
import time:       896 |        896 |                                       frozenlist._frozenlist
import time:       249 |       1145 |                                     frozenlist
import time:       269 |       1413 |                                   aiosignal
import time:      3709 |       5122 |                                 aiohttp.tracing
import time:      1190 |      52872 |                               aiohttp.client
import time:       543 |        543 |                               aiohttp.client_middleware_digest_auth
import time:       427 |        427 |                               aiohttp.payload_streamer
import time:       311 |      56468 |                             aiohttp
import time:       345 |        345 |                             litellm.litellm_core_utils.logging_utils
import time:       296 |        296 |                             litellm.types.llms.custom_http
import time:       334 |        334 |                                 importlib_metadata._meta
import time:       235 |        235 |                                 importlib_metadata._collections
import time:       134 |        134 |                                 importlib_metadata._compat
import time:       229 |        229 |                                 importlib_metadata._functools
import time:       409 |        409 |                                 importlib_metadata._itertools
import time:       113 |        113 |                                 importlib_metadata._typing
import time:       229 |        229 |                                 importlib_metadata.compat
import time:       205 |        205 |                                 importlib_metadata.compat.py311
import time:      1411 |       3293 |                               importlib_metadata
import time:       188 |        188 |                                     zipp._functools
import time:       119 |        119 |                                       zipp.compat
import time:       163 |        281 |                                     zipp.compat.py310
import time:       117 |        117 |                                       zipp.compat.py313
import time:       147 |        264 |                                     zipp.glob
import time:       521 |       1252 |                                   zipp
import time:         9 |       1261 |                                 zipp.compat
import time:       135 |       1395 |                               zipp.compat.overlay
import time:       134 |        134 |                                 importlib_metadata._text
import time:       205 |        338 |                               importlib_metadata._adapters
import time:      1957 |       6983 |                             litellm._version
import time:       994 |      65134 |                           litellm.llms.custom_httpx.http_handler
import time:       427 |        427 |                           litellm.llms.base_llm.base_utils
import time:       747 |      66357 |                         litellm.llms.base_llm.chat.transformation
import time:       561 |      66986 |                       litellm.llms.base_llm.audio_transcription.transformation
import time:        42 |         42 |                         litellm.llms.base_llm.batches
import time:       246 |        288 |                       litellm.llms.base_llm.batches.transformation
import time:        53 |         53 |                         litellm.llms.base_llm.embedding
import time:       223 |        275 |                       litellm.llms.base_llm.embedding.transformation
import time:        37 |         37 |                         litellm.llms.base_llm.image_edit
import time:        45 |         45 |                           litellm.types.images
import time:       331 |        376 |                         litellm.types.images.main
import time:       282 |        694 |                       litellm.llms.base_llm.image_edit.transformation
import time:        46 |         46 |                         litellm.llms.base_llm.image_generation
import time:       223 |        269 |                       litellm.llms.base_llm.image_generation.transformation
import time:       339 |     144537 |                     litellm.llms.base_llm
import time:        29 |     144566 |                   litellm.llms.base_llm.base_utils
import time:        36 |         36 |                     litellm.secret_managers
import time:       111 |        111 |                           litellm.caching.base_cache
import time:       199 |        309 |                         litellm.caching.azure_blob_cache
import time:       261 |        261 |                           litellm.litellm_core_utils.model_param_helper
import time:      1210 |       1210 |                           litellm.types.caching
import time:       174 |        174 |                           litellm.caching.disk_cache
import time:       365 |        365 |                             litellm.caching.in_memory_cache
import time:       136 |        136 |                               litellm.litellm_core_utils.coroutine_checker
import time:       822 |        822 |                               litellm.types.services
import time:      3418 |       4374 |                             litellm.caching.redis_cache
import time:       418 |       5156 |                           litellm.caching.dual_cache
import time:       145 |        145 |                                 litellm.integrations
import time:       171 |        315 |                               litellm.integrations.gcs_bucket
import time:       747 |        747 |                                 litellm.integrations.mock_client_factory
import time:       314 |       1061 |                               litellm.integrations.gcs_bucket.gcs_bucket_mock_client
import time:       203 |        203 |                                   litellm.types.integrations.argilla
import time:       685 |        888 |                                 litellm.integrations.custom_logger
import time:       274 |       1162 |                               litellm.integrations.custom_batch_logger
import time:       228 |        228 |                               litellm.litellm_core_utils.cloud_storage_security
import time:       168 |        168 |                               litellm.types.integrations.gcs_bucket
import time:       459 |       3390 |                             litellm.integrations.gcs_bucket.gcs_bucket_base
import time:       355 |       3744 |                           litellm.caching.gcs_cache
import time:        41 |         41 |                               litellm.litellm_core_utils.prompt_templates
import time:        42 |         42 |                                 litellm.router_utils
import time:       330 |        372 |                               litellm.router_utils.batch_utils
import time:       555 |        966 |                             litellm.litellm_core_utils.prompt_templates.common_utils
import time:       293 |       1259 |                           litellm.caching.qdrant_semantic_cache
import time:       244 |        244 |                           litellm.caching.redis_cluster_cache
import time:       396 |        396 |                           litellm.caching.redis_semantic_cache
import time:       171 |        171 |                           litellm.caching.s3_cache
import time:       630 |      13241 |                         litellm.caching.caching
import time:       119 |      13668 |                       litellm.caching
import time:        14 |      13681 |                     litellm.caching.caching
import time:       177 |        177 |                       litellm.types.secret_managers.get_azure_ad_token_provider
import time:       144 |        320 |                     litellm.secret_managers.get_azure_ad_token_provider
import time:       140 |        140 |                     litellm.secret_managers.secret_manager_handler
import time:       390 |      14565 |                   litellm.secret_managers.main
import time:        40 |         40 |                     litellm.llms.base_llm.completion
import time:       222 |        262 |                   litellm.llms.base_llm.completion.transformation
import time:      3500 |       3500 |                         litellm.types.llms.openai_evals
import time:       396 |       3895 |                       litellm.llms.base_llm.evals.transformation
import time:       106 |       4000 |                     litellm.llms.base_llm.evals
import time:        17 |       4016 |                   litellm.llms.base_llm.evals.transformation
import time:        51 |         51 |                     litellm.llms.base_llm.responses
import time:       315 |        365 |                   litellm.llms.base_llm.responses.transformation
import time:      1804 |       1804 |                         litellm.types.llms.anthropic_skills
import time:       218 |       2022 |                       litellm.llms.base_llm.skills.transformation
import time:       133 |       2154 |                     litellm.llms.base_llm.skills
import time:        19 |       2172 |                   litellm.llms.base_llm.skills.transformation
import time:       817 |        817 |                   litellm.exceptions
import time:     33574 |     323503 |                 litellm.utils
import time:       205 |        205 |                   litellm.llms.base
import time:       411 |        616 |                 litellm.llms.custom_llm
import time:       487 |        487 |                           litellm.llms.anthropic.common_utils
import time:       320 |        320 |                             litellm.litellm_core_utils.url_utils
import time:       361 |        681 |                           litellm.llms.anthropic.batches.transformation
import time:       214 |       1381 |                         litellm.llms.anthropic.batches.handler
import time:       164 |       1544 |                       litellm.llms.anthropic.batches
